Date,Country,Region,Plastic_Waste_Tons,Plastic_Recycled_Tons,Burned_Waste_Tons,Illegal_Dumping_Cases,Trees_Cut,Deforestation_Area_Ha,Forest_Fires_Reported,CO2_Emissions_Tons,Water_Pollution_Index,Air_Quality_Index,Population_Affected,Government_Interventions,Reforestation_Projects,Waste_Collected_Tons,Plastic_Bans_Enforced,Awareness_Campaigns,Monitoring_Stations
2023-08-02,USA,Mountain,2393.68,535.52,842.34,4,904,19.54,1,4120.39,49.15,186.79,72094,1,2,235.16,1,10,35
2020-08-16,India,Rural,1494.46,1274.11,881.7,5,835,5.29,3,3725.61,83.97,178.0,50694,3,3,4292.34,0,12,28
2020-02-21,China,Urban,1382.28,572.55,577.54,1,859,18.52,1,4242.97,69.8,95.94,26004,1,0,391.7,0,0,29
2021-07-17,Russia,Urban,1382.3,258.1,750.74,3,160,7.46,1,3908.78,42.53,103.58,65864,4,3,1699.11,1,12,47
2021-05-16,Philippines,Forest,4649.71,54.06,286.07,5,890,12.63,3,4257.93,74.98,176.96,37713,2,0,877.99,0,7,46
2021-04-02,Philippines,Suburban,2866.71,643.08,1381.93,3,252,3.9,0,4386.69,32.31,92.7,67606,9,0,2237.0,1,1,2
2020-10-12,India,Mountain,1131.08,416.08,1874.5,0,809,15.32,0,3714.21,53.78,183.14,88281,9,0,994.03,1,4,18
2020-07-28,Brazil,Suburban,2469.81,1039.32,907.06,2,114,19.58,0,4733.84,84.59,166.07,40820,2,2,1866.22,1,7,1
2023-10-17,USA,Forest,1998.96,310.96,884.9,2,764,15.85,0,4806.73,71.39,72.85,31805,4,0,2418.98,0,4,2
2023-01-21,Philippines,Rural,215.91,788.1,1116.48,3,210,12.51,2,5572.79,77.59,157.96,4327,3,4,600.15,0,11,45
2020-06-27,Mexico,Coastal,671.24,551.51,2847.26,4,463,9.24,2,5105.56,85.88,175.15,93444,5,1,1538.16,1,14,45
2023-04-24,USA,Urban,2106.17,233.99,971.59,4,694,7.23,1,6412.27,76.47,71.65,18209,4,0,654.82,1,6,14
2022-05-14,Germany,Rural,4365.18,337.22,1042.46,3,739,8.67,1,5588.84,35.32,118.6,9908,9,4,127.8,1,14,28
2020-03-06,USA,Rural,1391.85,115.86,5099.62,0,754,6.9,0,7341.91,43.84,179.39,75725,4,3,1881.79,0,13,44
2020-03-02,Nigeria,Mountain,1058.03,2154.1,858.8,2,315,16.74,1,3850.03,60.0,79.8,16171,2,2,687.66,0,5,21
2020-07-10,China,Urban,1814.01,773.76,1354.73,2,621,17.92,3,5997.41,30.83,117.36,29117,3,3,236.8,0,4,20
2021-03-23,India,Suburban,1005.28,105.66,1311.25,9,254,19.02,0,3431.65,67.48,141.92,10423,2,2,2760.52,0,14,34
2021-04-21,USA,Forest,1317.74,2073.11,765.29,3,716,8.66,1,6059.91,69.43,64.59,55437,2,3,396.47,1,10,34
2022-10-31,USA,Coastal,1649.3,166.21,1424.11,5,633,11.15,0,5383.48,71.79,81.81,84502,9,3,545.13,1,2,46
2023-05-17,Brazil,Suburban,640.14,305.43,242.65,3,205,11.75,0,4773.86,63.34,120.01,83470,8,1,1207.35,1,5,39
2020-02-24,Germany,Urban,2970.06,445.93,882.75,4,222,13.2,2,5210.34,57.14,106.05,54413,9,1,183.38,1,8,4
2023-02-23,USA,Urban,535.18,563.79,446.01,2,357,0.55,0,4509.07,81.33,98.72,86300,5,1,1099.63,0,13,43
2021-02-11,Philippines,Coastal,472.79,1017.03,1451.79,0,499,16.93,2,4414.51,76.04,53.96,24516,9,3,1519.68,1,6,28
2024-01-06,USA,Suburban,1933.95,571.93,200.22,1,111,5.73,0,5437.55,66.74,189.19,17739,1,2,631.37,0,9,39
2023-08-23,Russia,Rural,2813.35,424.1,1692.26,0,422,9.71,0,3380.08,32.76,180.71,66036,0,1,397.74,0,0,1
2023-12-07,USA,Suburban,1897.84,653.33,31.19,2,509,16.91,0,5329.48,71.64,108.89,46870,2,2,2775.52,1,4,45
2023-01-21,Mexico,Forest,1521.78,404.03,1380.81,5,524,19.94,2,4874.52,63.49,77.21,62700,2,2,623.44,0,6,8
2022-05-09,Nigeria,Urban,1307.38,352.75,376.57,3,430,16.0,1,4673.13,71.61,60.36,38507,3,0,2127.22,1,13,16
2021-03-27,China,Rural,1139.91,496.33,602.24,3,766,0.98,1,4507.85,48.68,68.48,21836,3,4,3508.0,0,6,48
2022-07-08,Russia,Mountain,3437.8,1988.93,845.76,2,621,7.69,0,5236.25,76.62,140.3,10274,4,3,1753.09,1,14,45
2023-04-21,Germany,Rural,2121.04,359.7,2993.74,1,135,5.32,2,6031.82,55.08,160.09,46547,3,4,2374.12,1,12,31
2021-07-23,Mexico,Coastal,1217.32,1400.9,372.14,3,985,19.3,1,7228.27,83.67,73.46,48849,1,3,904.69,0,10,7
